Name,Age,Occupation,PAN_Card,Aadhar_Card,Bank_Account_No,Marital_Status,Children (Yes/No),Reported_Income,Interest_Income,Business_Income,Capital_Gains,Other_Income,Educational_Expenses,Healthcare_Costs,Lifestyle_Expenditure,Other_Expenses,Bank_Debited,Credit_Card_Debited,Actual_Income
Name0110,28,Self-employed,PAN0110X,Aadhar0110,BankAcc0110,Married,No,662413,66241,132483,0,0,0,46369,79490,0,0,19872,715406
Name0111,50,Business,PAN0111X,Aadhar0111,BankAcc0111,Married,No,1836742,0,0,91837,275511,0,128572,220409,183674,91837,55102,1948954
Name0112,83,Salaried,PAN0112X,Aadhar0112,BankAcc0112,Married,Yes,1838231,183823,367646,0,275735,147058,128676,0,0,91912,55147,2242642
Name0113,100,Business,PAN0113X,Aadhar0113,BankAcc0113,Married,No,1615738,0,0,0,242361,129259,113102,193889,0,80787,48472,1727950
Name0114,21,Self-employed,PAN0114X,Aadhar0114,BankAcc0114,Single,No,1123426,112343,224685,56171,168514,89874,78640,134811,112343,56171,33703,1179597
Name0115,46,Self-employed,PAN0115X,Aadhar0115,BankAcc0115,Married,Yes,447371,44737,89474,22369,0,0,31316,0,44737,22369,13421,492108
Name0116,41,Self-employed,PAN0116X,Aadhar0116,BankAcc0116,Married,No,5788140,192938,,0,0,0,135057,231526,192938,96469,57881,5788140
Name0117,47,Business,PAN0117X,Aadhar0117,BankAcc0117,Single,Yes,1685879,168588,0,84294,0,134870,118012,202305,0,84294,50576,1798091
Name0118,62,Self-employed,PAN0118X,Aadhar0118,BankAcc0118,Single,No,1190639,119064,238128,0,178596,95251,83345,142877,0,59532,35719,1309703
Name0119,61,Business,PAN0119X,Aadhar0119,BankAcc0119,Married,No,1954165,0,390833,0,0,156333,136792,234500,195416,0,58625,2066377
Name0120,48,Business,PAN0120X,Aadhar0120,BankAcc0120,Single,No,537133,53713,107427,0,80570,42971,37599,0,0,26857,16114,655302
Name0121,55,Salaried,PAN0121X,Aadhar0121,BankAcc0121,Married,No,819758,81976,163952,40988,122964,65581,57383,98371,81976,40988,24593,860746
Name0122,73,Business,PAN0122X,Aadhar0122,BankAcc0122,Married,No,1528553,152855,305711,76428,229283,0,106999,183426,152855,76428,45857,1727265
Name0123,30,Self-employed,PAN0123X,Aadhar0123,BankAcc0123,Married,No,1002749,100275,200550,50137,0,0,70192,120330,0,0,30082,1133107
Name0124,46,Business,PAN0124X,Aadhar0124,BankAcc0124,Single,Yes,1127083,0,0,0,169062,0,78896,135250,0,56354,33812,1239295
Name0125,54,Business,PAN0125X,Aadhar0125,BankAcc0125,Married,No,1912782,191278,382556,0,0,153023,0,229534,191278,95639,57383,2024994
Name0126,60,Salaried,PAN0126X,Aadhar0126,BankAcc0126,Single,No,504928,0,0,0,75739,40394,0,60591,50493,25246,15148,617140
Name0127,82,Self-employed,PAN0127X,Aadhar0127,BankAcc0127,Married,Yes,149469,14947,29894,0,0,11958,10463,0,14947,7473,4484,244985
Name0128,59,Business,PAN0128X,Aadhar0128,BankAcc0128,Single,Yes,1412731,141273,282546,0,211910,113018,0,169528,0,70637,42382,1652895
Name0129,33,Salaried,PAN0129X,Aadhar0129,BankAcc0129,Married,No,738092,73809,0,0,110714,0,0,88571,73809,36905,22143,801187
Name0130,96,Self-employed,PAN0130X,Aadhar0130,BankAcc0130,Married,No,207071,0,41414,10354,0,0,14495,24849,20707,10354,0,288434
Name0131,45,Business,PAN0131X,Aadhar0131,BankAcc0131,Single,No,852494,85249,170499,0,127874,68200,59675,102299,0,42625,25575,937742
Name0132,42,Business,PAN0132X,Aadhar0132,BankAcc0132,Single,Yes,763337,76334,152667,38167,114501,61067,53434,0,76334,38167,22900,893104
Name0133,65,Self-employed,PAN0133X,Aadhar0133,BankAcc0133,Single,Yes,523890,52389,0,26194,78584,0,36672,62867,0,26194,15717,539607
Name0134,20,Business,PAN0134X,Aadhar0134,BankAcc0134,Married,No,335053,33505,67011,16753,0,26804,23454,40206,33505,16753,10052,401548
Name0135,94,Salaried,PAN0135X,Aadhar0135,BankAcc0135,Married,Yes,631913,63191,126383,31596,94787,50553,44234,75830,63191,31596,18957,663509
Name0136,35,Business,PAN0136X,Aadhar0136,BankAcc0136,Single,No,660665,66066,132133,0,99100,0,46247,79280,0,33033,19820,779584
Name0137,42,Self-employed,PAN0137X,Aadhar0137,BankAcc0137,Single,Yes,708003,70800,141601,0,106200,0,0,84960,0,35400,21240,885004
Name0138,99,Salaried,PAN0138X,Aadhar0138,BankAcc0138,Married,Yes,948407,0,189681,0,142261,75873,66388,113809,0,47420,28452,1048407
Name0139,99,Self-employed,PAN0139X,Aadhar0139,BankAcc0139,Married,No,527247,52725,105449,0,79087,42180,36907,63270,52725,26362,15817,627247
Name0140,88,Salaried,PAN0140X,Aadhar0140,BankAcc0140,Single,No,641664,0,128333,0,96250,0,44916,77000,0,32083,,753876
Name0141,45,Self-employed,PAN0141X,Aadhar0141,BankAcc0141,Single,Yes,1314113,131411,262823,65706,197117,105129,0,157694,0,65706,39423,1603218
Name0142,43,Salaried,PAN0142X,Aadhar0142,BankAcc0142,Married,No,1190136,0,0,0,178520,95211,83310,142816,119014,59507,35704,1302348
Name0143,22,Self-employed,PAN0143X,Aadhar0143,BankAcc0143,Single,Yes,948593,0,189719,0,142289,75887,66402,0,94859,47430,28458,967565
Name0144,99,Business,PAN0144X,Aadhar0144,BankAcc0144,Single,No,285117,28512,57023,0,42768,22809,19958,34214,28512,0,8554,299373
Name0145,93,Business,PAN0145X,Aadhar0145,BankAcc0145,Married,No,528220,52822,0,0,79233,42258,36975,63386,52822,0,15847,548987
Name0146,76,Self-employed,PAN0146X,Aadhar0146,BankAcc0146,Married,No,1506977,150698,301395,0,226047,120558,105488,180837,150698,75349,45209,1506978
Name0147,20,Self-employed,PAN0147X,Aadhar0147,BankAcc0147,Married,No,1200829,120083,240166,0,0,96066,84058,144099,120083,0,36025,1313041
Name0148,28,Salaried,PAN0148X,Aadhar0148,BankAcc0148,Married,Yes,1822271,182227,364454,0,273341,145782,127559,218673,182227,91114,54668,1922270
Name0149,60,Salaried,PAN0149X,Aadhar0149,BankAcc0149,Married,Yes,1641843,164184,328369,82092,0,131347,114929,197021,0,82092,49255,1641844
Name0150,66,Salaried,PAN0150X,Aadhar0150,BankAcc0150,Married,No,365080,0,0,18254,0,0,25556,0,36508,18254,10952,392064
Name0151,26,Business,PAN0151X,Aadhar0151,BankAcc0151,Single,No,320041,32004,64008,16002,48006,25603,22403,38405,32004,,9601,432253
Name0152,93,Business,PAN0152X,Aadhar0152,BankAcc0152,Single,Yes,753500,75350,150700,37675,113025,60280,52745,90420,75350,37675,0,813780
Name0153,56,Self-employed,PAN0153X,Aadhar0153,BankAcc0153,Married,Yes,1093892,109389,0,54695,0,0,76572,131267,109389,0,32817,3098304
Name0154,82,Business,PAN0154X,Aadhar0154,BankAcc0154,Single,Yes,433654,0,86731,,65048,34692,30356,52038,0,21683,13010,545866
Name0155,81,Business,PAN0155X,Aadhar0155,BankAcc0155,Single,Yes,1050071,105007,0,52504,157511,84006,73505,126009,105007,52504,31502,1162283
Name0156,65,Business,PAN0156X,Aadhar0156,BankAcc0156,Married,Yes,1493659,149366,298732,0,224049,119493,104556,179239,0,74683,44810,1643025
Name0157,56,Business,PAN0157X,Aadhar0157,BankAcc0157,Single,Yes,1685372,0,337074,84269,252806,134830,117976,202245,0,84269,50561,1769640
Name0158,51,Business,PAN0158X,Aadhar0158,BankAcc0158,Married,No,1967102,0,393420,98355,295065,157368,137697,236052,196710,98355,59013,1968747
Name0159,39,Business,PAN0159X,Aadhar0159,BankAcc0159,Married,No,1029312,102931,0,51466,154397,82345,72052,123517,102931,0,30879,1141524
Name0160,58,Self-employed,PAN0160X,Aadhar0160,BankAcc0160,Married,No,1615319,0,323064,80766,242298,129226,113072,193838,161532,80766,48460,1634553
Name0161,87,Business,PAN0161X,Aadhar0161,BankAcc0161,Single,No,430668,43067,86134,0,64600,0,30147,51680,43067,0,0,499575
Name0162,76,Self-employed,PAN0162X,Aadhar0162,BankAcc0162,Married,No,348855,34886,69771,17443,52328,27908,24420,41863,34886,17443,10466,366297
Name0163,80,Salaried,PAN0163X,Aadhar0163,BankAcc0163,Married,No,649793,64979,0,32490,97469,51983,45486,77975,64979,32490,19494,652324
Name0164,85,Business,PAN0164X,Aadhar0164,BankAcc0164,Single,Yes,682272,68227,136454,0,102341,54582,47759,81873,68227,34114,20468,782271
Name0165,100,Business,PAN0165X,Aadhar0165,BankAcc0165,Married,No,1167655,0,233531,0,0,93412,81736,140119,116766,58383,35030,1279867
Name0166,59,Self-employed,PAN0166X,Aadhar0166,BankAcc0166,Married,No,292718,29272,58544,0,43908,23417,0,35126,0,14636,8782,342481
Name0167,29,Business,PAN0167X,Aadhar0167,BankAcc0167,Single,Yes,117707,11771,23541,5885,17656,9417,8239,14125,0,5885,3531,135363
Name0168,45,Self-employed,PAN0168X,Aadhar0168,BankAcc0168,Single,Yes,570589,57059,114118,28529,0,45647,0,0,0,28529,17118,679001
Name0169,56,Business,PAN0169X,Aadhar0169,BankAcc0169,Single,No,364493,36449,72899,18225,54674,29159,25515,43739,0,18225,10935,419167
Name0170,88,Business,PAN0170X,Aadhar0170,BankAcc0170,Single,No,700648,0,0,35032,105097,56052,49045,84078,0,0,21019,730583
Name0171,73,Business,PAN0171X,Aadhar0171,BankAcc0171,Married,Yes,1187052,0,237410,0,178058,0,83094,142446,118705,59353,35612,1263310
Name0172,27,Self-employed,PAN0172X,Aadhar0172,BankAcc0172,Married,Yes,664905,0,132981,33245,0,53192,46543,79789,66490,33245,19947,777117
Name0173,64,Self-employed,PAN0173X,Aadhar0173,BankAcc0173,Married,No,1498690,149869,299738,0,224804,119895,104908,179843,149869,0,,1610902
Name0174,32,Self-employed,PAN0174X,Aadhar0174,BankAcc0174,Single,Yes,1588052,158805,0,79403,238208,127044,111164,0,158805,79403,47642,1640410
Name0175,46,Salaried,PAN0175X,Aadhar0175,BankAcc0175,Single,Yes,447919,44792,0,22396,67188,35834,31354,53750,44792,22396,13438,480731
Name0176,75,Business,PAN0176X,Aadhar0176,BankAcc0176,Married,Yes,1546104,154610,309221,77305,0,123688,108227,185532,0,77305,46383,1546105
Name0177,52,Self-employed,PAN0177X,Aadhar0177,BankAcc0177,Single,Yes,1535204,153520,0,76760,0,122816,0,0,153520,76760,46056,1647416
Name0178,32,Self-employed,PAN0178X,Aadhar0178,BankAcc0178,Married,No,1984658,198466,396932,99233,297699,158773,138926,238159,0,99233,59540,2282357
Name0179,76,Business,PAN0179X,Aadhar0179,BankAcc0179,Married,No,1215357,121536,243071,60768,182304,97229,85075,145843,0,,36461,1327569
Name0180,95,Business,PAN0180X,Aadhar0180,BankAcc0180,Married,No,1020024,102002,204005,51001,153004,81602,71402,122403,0,51001,30601,1173027
Name0181,67,Salaried,PAN0181X,Aadhar0181,BankAcc0181,Single,Yes,1140999,114100,228200,57050,171150,91280,,136920,0,57050,34230,1253211
